X;Y;name
-139.0875253996;61.0008071209;G13_LM073
-139.0871339926;61.0006163255;G13_LM074
-139.0867425903;61.000425529;G13_LM075
-139.0863511927;61.0002347313;G13_LM076
-139.0859597998;61.0000439325;G13_LM077
-139.0855684116;60.9998531326;G13_LM078
-139.0851770281;60.9996623315;G13_LM079
-139.0847856493;60.9994715294;G13_LM080
-139.0843942752;60.9992807261;G13_LM081
-139.0840029058;60.9990899217;G13_LM082
-139.0836115411;60.9988991162;G13_LM083
-139.0832201811;60.9987083096;G13_LM084
-139.0828288257;60.9985175018;G13_LM085
-139.0824374751;60.9983266929;G13_LM086
-139.0820461292;60.9981358829;G13_LM087
-139.0816547879;60.9979450718;G13_LM088
-139.0812634514;60.9977542596;G13_LM089
-139.0808721196;60.9975634462;G13_LM090
-139.0804807924;60.9973726317;G13_LM091
-139.0800894699;60.9971818161;G13_LM092
-139.0796981522;60.9969909994;G13_LM093
-139.0793068391;60.9968001816;G13_LM094
-139.0789155308;60.9966093626;G13_LM095
-139.0785242271;60.9964185426;G13_LM096
-139.0781329281;60.9962277214;G13_LM097
-139.0777416338;60.996036899;G13_LM098
-139.0772198121;60.9957833858;G13_UM001
-139.0768369151;60.9955885899;G13_UM002
-139.0764540229;60.995393793;G13_UM003
-139.0760711353;60.995198995;G13_UM004
-139.0756882525;60.9950041959;G13_UM005
-139.0753053743;60.9948093958;G13_UM006
-139.0749225008;60.9946145946;G13_UM007
-139.074539632;60.9944197923;G13_UM008
-139.0741567679;60.9942249889;G13_UM009
-139.0737739085;60.9940301845;G13_UM010
-139.0733910537;60.993835379;G13_UM011
-139.0730082037;60.9936405724;G13_UM012
-139.0726253583;60.9934457647;G13_UM013
-139.0722425176;60.993250956;G13_UM014
-139.0718596816;60.9930561462;G13_UM015
-139.0714768503;60.9928613354;G13_UM016
-139.0710940237;60.9926665234;G13_UM017
-139.0707112018;60.9924717104;G13_UM018
-139.0703283845;60.9922768963;G13_UM019
-139.069945572;60.9920820812;G13_UM020
-139.0695627641;60.991887265;G13_UM021
-139.0691799609;60.9916924477;G13_UM022
-139.0687971624;60.9914976293;G13_UM023
-139.0684143686;60.9913028099;G13_UM024
-139.0680315795;60.9911079894;G13_UM025
-139.067648795;60.9909131678;G13_UM026
-139.0672660153;60.9907183451;G13_UM027
-139.0668832402;60.9905235214;G13_UM028
-139.0665004698;60.9903286966;G13_UM029
-139.0661177042;60.9901338708;G13_UM030
-139.0657349431;60.9899390438;G13_UM031
-139.0653521868;60.9897442158;G13_UM032
-139.0649694352;60.9895493867;G13_UM033
-139.0645866882;60.9893545566;G13_UM034
-139.064203946;60.9891597254;G13_UM035
-139.0638212084;60.9889648931;G13_UM036
-139.0634384755;60.9887700597;G13_UM037
-139.0630973462;60.9885588602;G13_UM038
-139.0627845337;60.9883365217;G13_UM039
-139.0624717256;60.9881141825;G13_UM040
-139.0621589218;60.9878918426;G13_UM041
-139.0618461224;60.987669502;G13_UM042
-139.0615333273;60.9874471606;G13_UM043
-139.0612205366;60.9872248186;G13_UM044
-139.0609077502;60.9870024758;G13_UM045
-139.0605949682;60.9867801323;G13_UM046
-139.0602821906;60.9865577881;G13_UM047
-139.0599694173;60.9863354432;G13_UM048
-139.0596566483;60.9861130976;G13_UM049
-139.0593438837;60.9858907513;G13_UM050
-139.0590311235;60.9856684042;G13_UM051
-139.0587183676;60.9854460565;G13_UM052
-139.0584056161;60.985223708;G13_UM053
-139.058092869;60.9850013588;G13_UM054
-139.0577801262;60.9847790089;G13_UM055
-139.0574673877;60.9845566583;G13_UM056
-139.0571546536;60.984334307;G13_UM057
-139.0568419239;60.984111955;G13_UM058
-139.0565291985;60.9838896022;G13_UM059
-139.0562164775;60.9836672488;G13_UM060
-139.0559037608;60.9834448946;G13_UM061
-139.0555910485;60.9832225397;G13_UM062
-139.0552783405;60.9830001841;G13_UM063
-139.0549656369;60.9827778278;G13_UM064
-139.0546529376;60.9825554708;G13_UM065
-139.0543402427;60.982333113;G13_UM066
-139.0540465556;60.9821051819;G13_UM067
-139.0537873119;60.9818671512;G13_UM068
-139.0535280721;60.9816291199;G13_UM069
-139.0532688361;60.9813910881;G13_UM070
-139.053009604;60.9811530559;G13_UM071
-139.0527503757;60.9809150231;G13_UM072
-139.0524911513;60.9806769899;G13_UM073
