X;Y;name
-139.1477251266;60.9096335921;G02_UC053
-139.1475008472;60.9098797599;G02_UC054
-139.1472765643;60.9101259272;G02_UC055
-139.1470522779;60.9103720941;G02_UC056
-139.1468716248;60.9106250882;G02_UC057
-139.1467594709;60.9108888001;G02_UC058
-139.1466473151;60.9111525118;G02_UC059
-139.1464324261;60.9116799062;G02_UC061
-139.1465513448;60.9119429148;G02_UC062
-139.1466702653;60.9122059232;G02_UC063
-139.1467891878;60.9124689315;G02_UC064
-139.1470951988;60.9126635623;G02_UC065
-139.1475806541;60.9127926088;G02_UC066
-139.1480661133;60.9129216535;G02_UC067
-139.1485515764;60.9130506966;G02_UC068
-139.1490370435;60.9131797378;G02_UC069
-139.1500377034;60.9134071189;G02_UC071
-139.1505511015;60.9135073118;G02_UC072
-139.1510645028;60.9136075028;G02_UC073
-139.1515779075;60.9137076918;G02_UC074
-139.1520913153;60.9138078788;G02_UC075
-139.152562087;60.9139065595;G02_UC001
-139.1573819937;60.9141481564;G02_UC010
-139.1610894247;60.9124679359;G02_UC020
-139.1592723903;60.9100749808;G02_UC030
-139.1543205717;60.9089268943;G02_UC040
-139.1490333623;60.9091633696;G02_UC050
-139.1465351574;60.9114162234;G02_UC060
-139.1495243085;60.9133069241;G02_UC070
-139.0889303956;60.9962592929;G13_LH002
-139.0885150422;60.9964377218;G13_LH003
-139.0880996841;60.9966161493;G13_LH004
-139.0876843214;60.9967945756;G13_LH005
-139.0872689541;60.9969730006;G13_LH006
-139.0868535821;60.9971514242;G13_LH007
-139.0864382054;60.9973298466;G13_LH008
-139.0860228241;60.9975082676;G13_LH009
-139.0851920475;60.9978651058;G13_LH011
-139.0847766522;60.9980435229;G13_LH012
-139.0843612523;60.9982219388;G13_LH013
